"Make","Model","Price","Mileage"
"FORD","FIESTA",7308,11726
"FORD","FIESTA",7950,16206
"FORD","FIESTA",7000,13367
"FORD","FIESTA",7291,3777
"FORD","FIESTA",6795,37163
"FORD","FIESTA",7591,13682
"FORD","FIESTA",6500,24569
"FORD","FIESTA",6000,40000
"FORD","FIESTA",5877,31052
"FORD","FIESTA",7700,10591
"FORD","FIESTA",5500,33000
"FORD","FIESTA",8350,14207
"FORD","FIESTA",6499,36104
"FORD","FIESTA",6500,22350
"FORD","FIESTA",7391,12225
"FORD","FIESTA",7499,26527
"FORD","FIESTA",7995,13615
"FORD","FIESTA",7500,11392
"FORD","FIESTA",5701,29161
"FORD","FIESTA",8970,6614
"FORD","FIESTA",8000,2806
"FORD","FIESTA",6599,17788
"FORD","FIESTA",8329,13500
"FORD","FIESTA",8695,7850
"FORD","FIESTA",7795,13117
"FORD","FIESTA",7800,15487
"FORD","FIESTA",9000,9113
"FORD","FIESTA",6690,35000
"FORD","FIESTA",8799,10380
"FORD","FIESTA",7350,20000
"FORD","FIESTA",6495,32666
"FORD","FIESTA",9470,2118
"FORD","FIESTA",10200,5
"FORD","FIESTA",7950,6532
"FORD","FIESTA",8200,5519
"FORD","FIESTA",6751,20474
"FORD","FIESTA",7250,21987
"FORD","FIESTA",7398,17598
"FORD","FIESTA",6195,15000
"FORD","FIESTA",10995,10
"FORD","FIESTA",8995,16645
"FORD","FIESTA",7700,5930
"FORD","FIESTA",6499,28624
"FORD","FIESTA",8692,7462
"FORD","FIESTA",8000,11861
"FORD","FIESTA",6199,28200
"FORD","FIESTA",6688,7998
"FORD","FIESTA",6388,18762
"FORD","FIESTA",6495,24860
"FORD","FIESTA",7799,10152
"FORD","FIESTA",8000,18028
"FORD","FIESTA",7799,9678
"FORD","FIESTA",7995,14200
"FORD","FIESTA",7495,15334
"FORD","FIESTA",6495,16832
"FORD","FIESTA",8300,5214
"FORD","FIESTA",5999,31184
"FORD","FIESTA",8499,5567
"FORD","FIESTA",6995,25672
"FORD","FIESTA",8599,8810
"FORD","FIESTA",8590,7181
"FORD","FIESTA",6000,29586
"FORD","FIESTA",9295,7513
"FORD","FIESTA",8000,10000
"FORD","FIESTA",6495,16715
"FORD","FIESTA",8500,10802
"FORD","FIESTA",6897,14409
"FORD","FIESTA",7999,20131
"FORD","FIESTA",7000,25549
"FORD","FIESTA",8500,11608
"FORD","FIESTA",7495,13314
"FORD","FIESTA",7200,17007
"FORD","FIESTA",8000,15314
"FORD","FIESTA",10990,10
"FORD","FIESTA",7199,10201
"FORD","FIESTA",7000,18062
"FORD","FIESTA",6242,28695
"FORD","FIESTA",7495,21864
"FORD","FIESTA",8500,9626
"FORD","FIESTA",5500,69332
"FORD","FIESTA",8500,7321
"FORD","FIESTA",10495,6013
"FORD","FIESTA",7590,25341
"FORD","FIESTA",6195,38575
"FORD","FIESTA",7000,15731
"FORD","FIESTA",7400,8030
"FORD","FIESTA",6900,26038
"FORD","FIESTA",7950,7532
"FORD","FIESTA",6650,11577
